Column1,Column2,Column3,Column4,Column5,Column6,Column64,Column63,Column62,Column7,Column8,Column9,Column10,Column11,Column12,,,,,a,b,,
CID GOMES,PDT,CE,Titular,2019 / 2027,(61)3303-6460,(61)3303-6399,,,27/04/1963,sen.cidgomes@senado.leg.br,Glaucio Ribeiro De Pinho,SENADO FEDERAL ANEXO 1  10º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('CID GOMES','PDT','CE','Titular','2019 / 2027','27/04/1963','sen.cidgomes@senado.leg.br','PBA6482');",PBA6482,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6460' from senador where nome = 'CID GOMES';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6399' from senador where nome = 'CID GOMES';",,,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 05,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 05');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Glaucio Ribeiro De Pinho', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 05' and senador.nome = 'CID GOMES';"
CIRO NOGUEIRA,PP,PI,Titular,2019 / 2027,(61)3303-6187,(61)3303-6188,(61)3303-6192,,21/11/1968,sen.cironogueira@senado.leg.br,Marcelo Lopes Da Ponte,SENADO FEDERAL ANEXO 1  3º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('CIRO NOGUEIRA','PP','PI','Titular','2019 / 2027','21/11/1968','sen.cironogueira@senado.leg.br','PBB5174');",PBB5174,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6187' from senador where nome = 'CIRO NOGUEIRA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6188' from senador where nome = 'CIRO NOGUEIRA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6192' from senador where nome = 'CIRO NOGUEIRA';",,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 13,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 13');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Marcelo Lopes Da Ponte', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 13' and senador.nome = 'CIRO NOGUEIRA';"
CONFUCIO MOURA,MDB,RO,Titular,2019 / 2027,(61)3303-2470,(61)3303-2163,,,16/05/1948,sen.confuciomoura@senado.leg.br,Rogerio Caroca Cavalcante,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 05                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('CONFUCIO MOURA','MDB','RO','Titular','2019 / 2027','16/05/1948','sen.confuciomoura@senado.leg.br','NULL');",NULL,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-2470' from senador where nome = 'CONFUCIO MOURA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-2163' from senador where nome = 'CONFUCIO MOURA';",,,SENADO FEDERAL ANEXO 1,16º PAVIMENTO,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 1','16º PAVIMENTO');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Rogerio Caroca Cavalcante', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 1' and Localizacao.Complemento ='16º PAVIMENTO' and senador.nome = 'CONFUCIO MOURA';"
DANIELLA RIBEIRO,PP,PB,Titular,2019 / 2027,(61)3303-6788,(61)3303-6790,,,26/03/1972,sen.daniellaribeiro@senado.leg.br,Maria Eduarda Souto De Aquino,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('DANIELLA RIBEIRO','PP','PB','Titular','2019 / 2027','26/03/1972','sen.daniellaribeiro@senado.leg.br','PBB9997');",PBB9997,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6788' from senador where nome = 'DANIELLA RIBEIRO';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6790' from senador where nome = 'DANIELLA RIBEIRO';",,,SENADO FEDERAL ANEXO 2,ALA AFONSO ARINOS GABINETE 10,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA AFONSO ARINOS GABINETE 10');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Maria Eduarda Souto De Aquino', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA AFONSO ARINOS GABINETE 10' and senador.nome = 'DANIELLA RIBEIRO';"
DARIO BERGER,MDB,SC,Titular,2015 / 2023,(61)3303-5947,(61)3303-5951,(61)3303-5955,,07/12/1956,sen.darioberger@senado.leg.br,Marcello Augusto Castro Varella,SENADO FEDERAL ANEXO 1  16º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('DARIO BERGER','MDB','SC','Titular','2015 / 2023','07/12/1956','sen.darioberger@senado.leg.br','PBB5170');",PBB5170,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-5947' from senador where nome = 'DARIO BERGER';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-5951' from senador where nome = 'DARIO BERGER';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-5955' from senador where nome = 'DARIO BERGER';",,SENADO FEDERAL ANEXO 1,12º PAVIMENTO,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 1','12º PAVIMENTO');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Marcello Augusto Castro Varella', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 1' and Localizacao.Complemento ='12º PAVIMENTO' and senador.nome = 'DARIO BERGER';"
DAVI ACOLUMBRE,DEM,AP,Titular,2015 / 2023,(61)3303-6717,(61)3303-6720,,,19/06/1977,sen.davialcolumbre@senado.leg.br,-,SENADO FEDERAL ANEXO 2   ALA AFONSO ARINOS GABINETE 10                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('DAVI ACOLUMBRE','DEM','AP','Titular','2015 / 2023','19/06/1977','sen.davialcolumbre@senado.leg.br','PBB8781');",PBB8781,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6717' from senador where nome = 'DAVI ACOLUMBRE';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6720' from senador where nome = 'DAVI ACOLUMBRE';",,,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 21,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 21');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select '-', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 21' and senador.nome = 'DAVI ACOLUMBRE';"
EDUARDO BRAGA,MDB,AM,Titular,2019 / 2027,(61)3303-6230,,,,06/12/1960,sen.eduardobraga@senado.leg.br,José Sérgio Castro Rodopiano De Oliveira,SENADO FEDERAL ANEXO 1  12º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('EDUARDO BRAGA','MDB','AM','Titular','2019 / 2027','06/12/1960','sen.eduardobraga@senado.leg.br','PBB5159');",PBB5159,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6230' from senador where nome = 'EDUARDO BRAGA';",,,,SENADO FEDERAL ANEXO 1,5º PAVIMENTO,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 1','5º PAVIMENTO');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'José Sérgio Castro Rodopiano De Oliveira', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 1' and Localizacao.Complemento ='5º PAVIMENTO' and senador.nome = 'EDUARDO BRAGA';"
EDUARDO GIRÃO,PODEMOS,CE,Titular,2019 / 2027,(61)3303-6677,(61)3303-6678,,,25/09/1972,sen.eduardogirao@senado.leg.br,Claudia Nery Daltro,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 21                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('EDUARDO GIRÃO','PODEMOS','CE','Titular','2019 / 2027','25/09/1972','sen.eduardogirao@senado.leg.br','NULL');",NULL,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6677' from senador where nome = 'EDUARDO GIRÃO';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6678' from senador where nome = 'EDUARDO GIRÃO';",,,SENADO FEDERAL ANEXO 2,ALA RUY CARNEIRO GABINETE 04,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA RUY CARNEIRO GABINETE 04');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Claudia Nery Daltro', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA RUY CARNEIRO GABINETE 04' and senador.nome = 'EDUARDO GIRÃO';"
EDUARDO GOMES,MDB,TO,Titular,2019 / 2027,(61)3303-6349,(61)3303-6352,(61)3303-6354,,28/04/1966,sen.eduardogomes@senado.leg.br,Walter Germano De Oliveira,SENADO FEDERAL ANEXO 1  5º PAVIMENTO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('EDUARDO GOMES','MDB','TO','Titular','2019 / 2027','28/04/1966','sen.eduardogomes@senado.leg.br','PBC0009');",PBC0009,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6349' from senador where nome = 'EDUARDO GOMES';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6352' from senador where nome = 'EDUARDO GOMES';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6354' from senador where nome = 'EDUARDO GOMES';",,SENADO FEDERAL ANEXO 2,ALA TEOTÔNIO VILELA GABINETE 06,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA TEOTÔNIO VILELA GABINETE 06');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Walter Germano De Oliveira', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA TEOTÔNIO VILELA GABINETE 06' and senador.nome = 'EDUARDO GOMES';"
ELIZIANE GAMA,CIDADANIA,MA,Titular,2019 / 2027,(61)3303-6741,(61)3303-6703,,,27/02/1977,sen.elizianegama@senado.leg.br,Pablo Pereira Munhoz,SENADO FEDERAL ANEXO 2   ALA RUY CARNEIRO GABINETE 04                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ELIZIANE GAMA','CIDADANIA','MA','Titular','2019 / 2027','27/02/1977','sen.elizianegama@senado.leg.br','PBA6470');",PBA6470,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-6741' from senador where nome = 'ELIZIANE GAMA';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-6703' from senador where nome = 'ELIZIANE GAMA';",,,SENADO FEDERAL ANEXO 2,ALA NILO COELHO PAVIMENTO TÉRREO SALA 2,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA NILO COELHO PAVIMENTO TÉRREO SALA 2');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select 'Pablo Pereira Munhoz', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA NILO COELHO PAVIMENTO TÉRREO SALA 2' and senador.nome = 'ELIZIANE GAMA';"
ELMANO FERRER,PODEMOS,PI,Titular,2015 / 2023,(61)3303-2415,(61)3303-3055,,,01/08/1942,sen.elmanoferrer@senado.leg.br,-,SENADO FEDERAL ANEXO 2   ALA TEOTÔNIO VILELA GABINETE 06                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"INSERT INTO Senador (Nome,Partido,UF,Titularidade,Mandato,DtNasc,Email,fk_Placa) values  ('ELMANO FERRER','PODEMOS','PI','Titular','2015 / 2023','01/08/1942','sen.elmanoferrer@senado.leg.br','PBA6469');",PBA6469,"insert into sen_telefone (sen, telefone) select  id , '(61)3303-2415' from senador where nome = 'ELMANO FERRER';","insert into sen_telefone (sen, telefone) select  id , '(61)3303-3055' from senador where nome = 'ELMANO FERRER';",,,SENADO FEDERAL ANEXO 2,ALA AFONSO ARINOS GABINETE 06,"insert into localizacao (endereco, complemento) values ('SENADO FEDERAL ANEXO 2','ALA AFONSO ARINOS GABINETE 06');","insert into gabinete (Chefe_de_Gabinete, fk_Localizacao, Sen_ID) select '-', Localizacao.Localizacao_PK, senador.id from Localizacao, senador where Localizacao.Endereco = 'SENADO FEDERAL ANEXO 2' and Localizacao.Complemento ='ALA AFONSO ARINOS GABINETE 06' and senador.nome = 'ELMANO FERRER';"
