Column1,Column2,Column3,Column4,Column5,Column6,Column7
LASIER MARTINS,RS,,Escritório de Apoio nº 1 do Senador Lasier Martins,"RUA GENERAL ANDRADE NEVES, Nº 14 - SALA 801. CENTRO HISTÓRICO, PORTO ALEGRE, RS. CEP:90010-210",(51) 3061-0123,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
LEILA BARROS,DF,,Escritório de Apoio nº 01 da Senadora Leila Barros,"QUADRA SDS. ED. ELDOURADO, BLOCO ""D"", N. 60, SALA 315. BRASÍLIA, DF. CEP:70392-901",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
LUCAS BARRETO,AP,,Escritório de Apoio nº 01 do Senador Lucas Barreto,"AVENIDA EQUATORIAL, 2265. JARDIM MARCO ZERO, MACAPA, AP. CEP:68903-361",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
LUIS CARLOS HEINZE,RS,,Escritório de Apoio 1 do Senador Luis Carlos Heinze,"RUA RIACHUELO, 1098. PORTO ALEGRE, RS. CEP:90010-270",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
LUIS CARLOS HEINZE,RS,,Escritório de Apoio 2 do Senador Luis Carlos Heinze,"RUA GENERAL OSÓRIO, 1765. SÃO BORJA, RS. CEP:97670-000",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
LUIZ DO CARMO,GO,,Escritório de Apoio nº 01 do Senador Luiz Carlos do Carmo,"AVENIDA R-9, 213. QUADRA R 11 LOTE 11 (CASA COMERCIAL). SETOR OESTE, GOIANIA, GO.",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MAILZA GOMES,AC,,Escritório de Apoio 1 da Senadora Mailza Gomes,"AVENIDA TRAVESSA BOA VISTA, 111. ISAURA PARENTE, RIO BRANCO, AC. CEP:69918306",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
MAJOR OLIMPIO,SP,,Escritório de Apoio nº 01 do Senador Major Olimpio,"SÃO PAULO, SP.",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
MARA GABRILLI,SP,,Escritório de Apoio nº 01 da Senadora Mara Gabrilli,"AVENIDA PAULISTA, 1159. 11º ANDAR, CONJUNTOS 1111/1112. EDIFÍCIO BARÃO DE SERRO AZUL. SÃO PAULO, SP. CEP:01311-921",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MARCELO CASTRO,PI,,Escritório de Apoio nº 01 do Senador Marcelo de Castro,"AVENIDA SENADOR AREIA LEÃO, 1500. SALA 14. JOCKEY CLUB, TERESINA, PI. CEP:64049-110",(86) 3233-4432,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
MARCIO BITTAR,AC,,Escritório de Apoio nº 01 do Senador Márcio Bittar,"RUA ALVORADA, 57. BOSQUE, RIO BRANCO, AC.",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
MARCOS DO VAL,ES,,Escritório de Apoio nº 01 do Senador Marcos do Val,"RUA JOÃO DA CRUZ, 195. EDIFÍCIO SEVILHA - SALAS 301 E 302. PRAIA DO CANTO, VITÓRIA, ES. CEP:29055-620",(27) 3376-1551,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
MARCOS ROGÉRIO ,RO,,Escritório de Apoio nº 1 do Senador Marcos Rogério,"RUA DOM AUGUSTO, 1321. CENTRO, JI-PARANÁ, RO. CEP:76900-103",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
MARIA DO CARMO ALVES,SE,,Escritório de Apoio da Senadora Maria do Carmo Alves,"RUA FENELON SANTOS, 52. BAIRRO SALGADO FILHO, ARACAJU, SE. CEP:49020-350",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
MECIAS DE JESUS,RR,,Escritório de Apoio nº 01 do Senador Mecias de Jesus,"AVENIDA BRIGADEIRO EDUARDO GOMES, 456. BAIRRO DOS ESTADOS, BOA VISTA, RR. CEP:69305-455",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
NELSINHO TRAD FILHO,MS,,Escritório de Apoio nº 01 do Senador Nelsinho Trad,"AVENIDA AMÉRICA, 759. VILA PLANALTO, CAMPO GRANDE, MS. CEP:79009-060",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
OMAR AZIZ,AM,,Escritório de Apoio nº 01 do Senador Omar Aziz,"RUA BERURI, 157. CONDOMÍNIO EFIGÊNIO SALES. ALEIXO, MANAUS, AM. CEP:69060-446",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ORIOVISTO GUIMARÃES,PR,,Escritório de Apoio nº 01 do Senador Oriovisto Guimarães,"ALAMEDA DR. CARLOS DE CARVALHO, 417. SALA 2004, EDIFÍCIO CURITIBA TRADE CENTER. CENTRO, CURITIBA, PR.",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
OTTO ALENCAR,BA,,Escritório de Apoio 1 do Senador Otto Alencar,"AVENIDA TANCREDO NEVES, 620. CONDOMÍNIO MUNDO PLAZA TORRE EMPRESARIAL, SALA 2014. CAMINHO DAS ÁRVORES, SALVADOR, BA. CEP:41820-020",(71) 2132-9828,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PAULO PAIM,RS,,Escritório de Apoio do Senador Paulo Paim,"AVENIDA GUILHERME SCHELL, 6922. MATHIAS VELHO, CANOAS, RS. CEP:92310-001",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
PAULO ROCHA,PA,,Escritório de Apoio 1 do Senador Paulo Rocha,"AVENIDA GENERALÍSSIMO DEODORO, 106. UMAZIRAL, BELÉM, PA. CEP:66055240",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PLÍNIO VALÉRIO,AM,,Escritório de Apoio nº 01 do Senador Plínio Valério,"AVENIDA DR. THEOMÁRIO PINTO DA COSTA, 811. EDIFÍCIO SKYE PLATINUM OFFICES, D. PEDRO, SALA 913, 9º ANDAR. MANAUS, AM. CEP:69050-055",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
RANDOLFE RODRIGUES,AP,,Escritório de Apoio nº 1 do Senador Randolfe Rodrigues,"AVENIDA ALMIRANTE BARROSO, 2957. ALVORADA, MACAPA, AP. CEP:68906-535",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
RENAN CALHEIROS,AL,,Escritório de Apoio do Senador Renan Calheiros,"RUA PAULINA DE MENDONÇA, 816. MANGABEIRAS, MACEIO, AL. CEP:57037-600",(82) 3325-9360,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ROBERTO ROCHA,MA,,Escritório de Apoio 1 do Senador Roberto Rocha,"RUA DA NEBLINA, 30. CALHAU, SÃO LUIS, MA. CEP:65071-520",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
RODRIGO CUNHA,AL,,Escritório de Apoio nº 01 do Senador Rodrigo Cunha,"AVENIDA COMENDADOR GUSTAVO PAIVA, 2789. ED. EMPRESARIAL NORCON - SALA 19. MANGABEIRAS, MACEIO, AL. CEP:57037-532",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
RODRIGO PACHECO,MG,,Escritório de Apoio do Senador Rodrigo Pacheco,"RUA MINISTRO OROZIMBO NONATO, 442. SALAS 1209 A 1212 - COND. E-OFFICE. VILA DA SERRA, NOVA LIMA, MG. CEP:34006-053",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ROGÉRIO CARVALHO,SE,,Escritório de Apoio nº 01 do Senador Rogério Carvalho,"AVENIDA MINISTRO GERALDO BARRETO SOBRAL, 2100. EDIFÍCIO JFC TRADE CENTER, 13º ANDAR, SALA 1301. JARDINS, ARACAJU, SE. CEP:49026-010",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ROMÁRIO,RJ,,Escritório de Apoio 1 do Senador Romário,"AVENIDA DAS AMÉRICAS, 3500. SALA 130, ED. HONG KONG. BARRA DA TIJUCA, RIO DE JANEIRO, RJ. CEP:22640102",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ROSE DE FREITAS,ES,,Escritório de Apoio 1 da Senadora Rose de Freitas,"AVENIDA JOÃO BAPTISTA PARRA, 673. ED. ENSEADA TOWER - SL. 701/702-A. PRAIA DO SUÁ, VITÓRIA, ES. CEP:29052-123",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
SÉRGIO PETECÃO,AC,,Escritório de Apoio do Senador Sérgio Petecão,"VIA CHICO MENDES, KM, 1. TRIÂNGULO NOVO, RIO BRANCO, AC. CEP:69906-000",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
SIMONE TEBET,MS,,Escritório de Apoio nº 01 da Senadora Simone Tebet,"RUA RUA ALAGOAS, 396, 396. ED.ATRIUM CORPORATE, SALAS 1004/1005. JARDIM DOS ESTADOS, CAMPO GRANDE, MS. CEP:79020-120",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
SORAYA THRONICKE,MS,,Escritório de Apoio nº 1 da Senadora Soraya Thronicke,"RUA NEYDE MAIA MIRANDA, 265. CHÁCARA CACHOEIRA, CAMPO GRANDE, MS. CEP:79040-790",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
STYVENSON VALENTIM,RN,,Escritório de Apoio nº 01 do Senador Styvenson Vatentim,"RUA DR LUIZ FELIPE CÂMARA, 55. SALA 1406, EDIFÍCIO THEMIS TOWER. NATAL, RN. CEP:59064-200",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TASSO JEREISSATI,CE,,Escritório de Apoio do Senador Tasso Jereissati,"AVENIDA WASHINGTON SOARES, 55. SALA 303, ED. IGUATEMI EMPRESARIAL. CEP:60811-341",3311.4846,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TELMÁRIO MOTA,RR,,Escritório de Apoio 1 do Senador Telmário Mota,"RUA ZACARIAS MENDES RIBEIRO, 1137. PARAVIANA, BOA VISTA, RR. CEP:69307-280",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
VANDERLAN CARDOSO,GO,,Escritório de Apoio nº 01 do Senador Vanderlan Cardoso,"PRAÇA PROF. CECILIO FLEURY. Q F32, 30. ST. SUL, GOIANIA, GO. CEP:74085-540",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
VENEZIANO VITAL DO RÊGO,PB,,Escritório de Apoio nº 01 do Senador Veneziano Vital do Rêgo,"RUA MANOEL ELIAS DE CASTRO, 14. -A, ALTO BRANCO (TÉRREO). TEL. (83) 2148-8593. CAMPINA GRANDE, PB. CEP:58401-338",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
WELLINGTON FAGUNDES,MT,,Escritório de Apoio 1 do Senador Wellington Fagundes,"RUA OTÁVIO PITALUGA, 692. CENTRO, RONDONÓPOLIS, MT. CEP:78700170",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
WELLINGTON FAGUNDES,MT,,Escritório de Apoio 2 do Senador Wellington Fagundes,"AVENIDA HISTORIADOR RUBENS MENDONÇA, 2368. ED. CENTRO EMPRESARIAL TOP TOWER, 5º ANDAR, SALA 506. JARDIM ACLIMAÇÃO, CUIABA, MT. CEP:78050000",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
WEVERTON,MA,,Escritório de Apoio nº 01 do Senador Weverton Rocha,"AVENIDA HOLANDESES, 2. ED. TECH OFFICE, SALAS 303 / 304 / 305. PONTA D'AREIA, SÃO LUIS, MA. CEP:65071-380",,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
